TextBlob,brand,clean,favourites_count,followers_count,friends_count,id,location,name,orig,polarity,pubdate,screen_name,sentiment,statuses_count,subjectivity,user_id,verified
"how to recover deleted and lost photo from xiaomi
",xiaomi,"how to recover deleted and lost photo from xiaomi
",274,7,57,1082987268720095232,People's Republic of China,waka,"How to recover deleted and lost Photo from Xiaomi
https://t.co/jAwR8tffzF",0.0,Wed Jan 09 13:07:40 +0000 2019,wakahoneyhe,neutral,734,0.0,842347020547309568,False
"#androidtv, #tv market 2019, proceeding towards a smarter lifestyle, by key manufacturers: samsung electronics, viz ",xiaomi,"#androidtv, #tv market 2019, proceeding towards a smarter lifestyle, by key manufacturers: samsung electronics, viz ",7,85,578,1082987586069630977,,Stephano Kelley,"#AndroidTV, #TV Market 2019, Proceeding Towards a Smarter Lifestyle, by Key Manufacturers: Samsung Electronics, Viz… https://t.co/6S3ohXe29y",0.0,Wed Jan 09 13:08:56 +0000 2019,stephanokelley6,neutral,2384,1.0,801769122291806208,False
xiaomi ceo briefly shows off redmi note 7 on video ,xiaomi,xiaomi ceo briefly shows off redmi note 7 on video ,1,805,41,1082987655997075457,"Vancouver, British Columbia",Unlock2Cell,Xiaomi CEO briefly shows off Redmi Note 7 on video https://t.co/JXYORfIBG4,0.0,Wed Jan 09 13:09:12 +0000 2019,unlock2cell,neutral,4079,0.3333333333333333,3416977679,False
smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,xiaomi,smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,310,700,1575,1082987899988176896,"New Jersey, USA",feydurordu,SmartDevil Micro USB Cable 2A Fast Charging Data Cable Braided 90 Degree USB Charger Cable For Samsung Huawei Xiaom… https://t.co/7fCzn0TrWV,0.2,Wed Jan 09 13:10:10 +0000 2019,feydurordu704,positive,15291,0.6,900235994754162690,False
smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,xiaomi,smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,0,81,170,1082987911342161920,,lovelynovelty,SmartDevil Micro USB Cable 2A Fast Charging Data Cable Braided 90 Degree USB Charger Cable For Samsung Huawei Xiaom… https://t.co/VNQq6ZrYM8,0.2,Wed Jan 09 13:10:13 +0000 2019,saturnandjupit1,positive,14488,0.6,994217947114520576,False
smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,xiaomi,smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,1304,1568,1662,1082987920821239808,,scape of day,SmartDevil Micro USB Cable 2A Fast Charging Data Cable Braided 90 Degree USB Charger Cable For Samsung Huawei Xiaom… https://t.co/iHNZCJgSuk,0.2,Wed Jan 09 13:10:15 +0000 2019,scapeofday,positive,19258,0.6,928106238876848129,False
smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,xiaomi,smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,661,656,655,1082987930455601152,,CelebSFW,SmartDevil Micro USB Cable 2A Fast Charging Data Cable Braided 90 Degree USB Charger Cable For Samsung Huawei Xiaom… https://t.co/YEsuOqJmap,0.2,Wed Jan 09 13:10:18 +0000 2019,celebsfw,positive,18796,0.6,933934701982580745,False
smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,xiaomi,smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,2179,3251,3256,1082987941138481152,,Bought_Again,SmartDevil Micro USB Cable 2A Fast Charging Data Cable Braided 90 Degree USB Charger Cable For Samsung Huawei Xiaom… https://t.co/XlRz2Fed4W,0.2,Wed Jan 09 13:10:20 +0000 2019,Bought_Again,positive,22487,0.6,34884490,False
smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,xiaomi,smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,29,256,562,1082987959098449925,,tonynoel,SmartDevil Micro USB Cable 2A Fast Charging Data Cable Braided 90 Degree USB Charger Cable For Samsung Huawei Xiaom… https://t.co/Rh0nDHwEzq,0.2,Wed Jan 09 13:10:25 +0000 2019,tonynoe07088543,positive,14387,0.6,1003193026200530944,False
smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,xiaomi,smartdevil micro usb cable 2a fast charging data cable braided 90 degree usb charger cable for samsung huawei xiaom ,711,704,320,1082987970616016896,,todayilearned,SmartDevil Micro USB Cable 2A Fast Charging Data Cable Braided 90 Degree USB Charger Cable For Samsung Huawei Xiaom… https://t.co/oVEN6kckcw,0.2,Wed Jan 09 13:10:27 +0000 2019,engraving_rings,positive,6328,0.6,628340190,False
